Layers,Complexity,MSE Train,MSE Future,MSE Past,MSE Train and Test
"(7, 8, 8, 7, 8, 1)",272,0.07530289888381958,0.3217750489711761,0.09682214260101316,0.11884845048189165
"(7, 8, 7, 16, 1)",272,0.07604115456342697,0.3990144431591034,0.10235995799303056,0.13310259580612185
"(7, 8, 7, 8, 8, 1)",272,0.07796799391508102,0.2889346182346344,0.1009153351187706,0.11524058878421785
"(7, 7, 9, 13, 1)",272,0.07831493765115738,0.3153054416179657,0.09951163083314896,0.1201855167746544
"(7, 9, 9, 10, 1)",273,0.0768919438123703,0.3896125555038452,0.09590499848127364,0.13214202225208282
"(7, 14, 10, 1)",273,0.07777930796146393,0.2597217261791229,0.09278251230716704,0.10992404073476793
"(7, 7, 8, 8, 8, 1)",273,0.0814209133386612,0.2272629588842392,0.09883111715316772,0.10718761384487152
"(7, 9, 8, 12, 1)",273,0.07818558812141417,0.3240140974521637,0.10011201351881027,0.1216174215078354
"(7, 7, 24, 1)",273,0.07773789763450623,0.272890567779541,0.10003408044576644,0.11221668124198914
"(7, 16, 8, 1)",273,0.07515783607959747,0.2626967132091522,0.09559791535139084,0.1082913503050804
"(7, 7, 7, 9, 8, 1)",273,0.07737109065055847,0.31109264492988586,0.09687253832817078,0.1186639666557312
"(7, 10, 16, 1)",273,0.07713084667921066,0.31869933009147644,0.09241622686386107,0.1198100745677948
"(7, 7, 8, 7, 10, 1)",274,0.07687381654977797,0.5983433723449707,0.09995163232088088,0.1690046787261963
"(7, 11, 9, 7, 1)",274,0.07653224468231201,0.20685425400733948,0.10057763755321504,0.09955696016550064
"(7, 9, 11, 7, 1)",274,0.08147599548101425,0.2503553628921509,0.09953175485134123,0.11131289601325987
"(7, 8, 7, 7, 10, 1)",274,0.07662300020456314,0.40684059262275696,0.09415794909000397,0.13496442139148712
"(7, 15, 9, 1)",274,0.07943060994148254,0.2621956765651703,0.09720196574926376,0.11172065883874893
"(7, 10, 7, 13, 1)",275,0.07743522524833679,0.21985292434692386,0.09566233307123184,0.10259697586297988
"(7, 8, 21, 1)",275,0.08019992709159851,0.2362780570983887,0.10019233822822572,0.10777517408132553
"(7, 8, 10, 10, 1)",275,0.07747725397348404,0.21143919229507446,0.09463001787662506,0.10114505141973497
"(7, 7, 11, 10, 1)",275,0.07761891186237335,0.3964319825172424,0.10517562180757524,0.13394533097743988
"(7, 13, 7, 8, 1)",275,0.0772937536239624,0.35795754194259644,0.09341791272163393,0.12688006460666654
"(7, 10, 10, 7, 1)",275,0.07276124507188797,0.28423115611076355,0.09739745408296584,0.11012272536754608
"(7, 11, 8, 9, 1)",275,0.07587733119726181,0.3073147833347321,0.10196896642446518,0.116766519844532
"(7, 7, 7, 18, 1)",275,0.07501062005758287,0.3206129372119904,0.10247569531202316,0.11840260028839113
"(7, 7, 7, 8, 10, 1)",277,0.0783020630478859,0.22117644548416132,0.0971331223845482,0.1035444363951683
